drugname,count,drug_group
EXPAREL,158,exparel
BUPIVACAINE HYDROCHLORIDE,204,bupivacaine_plain
BUPIVACAINE,93,bupivacaine_plain
MARCAINE,36,bupivacaine_plain
BUPIVACAINE HYDROCHLORIDE WITH DEXTROSE,23,bupivacaine_plain
SENSORCAINE WITH EPINEPHRINE,23,bupivacaine_plain
BUPIVACAINE HYDROCHLORIDE\FENTANYL CITRATE,10,bupivacaine_plain
MARCAINE WITH EPINEPHRINE,7,bupivacaine_plain
SENSORCAINE MPF,5,bupivacaine_plain
BUPIVACAINE\FENTANYL CITRATE,2,bupivacaine_plain
BUPIVACAINE HYDROCHLORIDE\EPINEPHRINE,2,bupivacaine_plain
ROPIVACAINE,72,ropivacaine
ROPIVACAINE HYDROCHLORIDE,48,ropivacaine
NAROPIN,4,ropivacaine
ROPIVACAINE.,3,ropivacaine
ROPIVACAINE HYDROCHLORIDE ANHYDROUS,1,ropivacaine
