drugname,count
LIDOCAINE,812
LIDOCAINE HYDROCHLORIDE,363
LIDOCAINE PATCH,84
EPINEPHRINE BITARTRATE\LIDOCAINE HYDROCHLORIDE,74
ARTICAINE HYDROCHLORIDE\EPINEPHRINE BITARTRATE,71
SEPTOCAINE,62
XYLOCAINE,61
DEXTROSE\LIDOCAINE HYDROCHLORIDE,41
XYLOCAINE WITH EPINEPHRINE,40
EPINEPHRINE\LIDOCAINE HYDROCHLORIDE,30
LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,25
PROPARACAINE HYDROCHLORIDE,23
MEPIVACAINE HYDROCHLORIDE,22
ICY HOT WITH LIDOCAINE NO-MESS,20
ARTICAINE HYDROCHLORIDE\EPINEPHRINE HYDROCHLORIDE,17
ARTICAINE\EPINEPHRINE,17
CARBOCAINE,16
MEPIVACAINE,14
ALCAINE,13
SEPTOCAINE AND EPINEPHRINE,11
ICY HOT WITH LIDOCAINE PAIN RELIEVING,9
CALCIUM CHLORIDE\LIDOCAINE\MAGNESIUM CHLORIDE\PHENYLEPHRINE\POTASSIUM CHLORIDE\SODIUM ACETATE\SODIUM CHLORIDE\SODIUM CITRATE,9
ASPERCREME WITH LIDOCAINE,8
LIDOCAINE\PRILOCAINE,8
ASPERCREME WITH LIDOCAINE NO-MESS APPLICATOR,8
COCAINE HYDROCHLORIDE,7
ASPERCREME LIDOCAINE NO-MESS PLUS LAVENDER,7
PROPARACAINE,7
POLOCAINE-MPF,6
EPINEPHRINE\LIDOCAINE,6
